Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2023-03-20 01:10,7,10.19,49,56
2023-03-20 01:10,11,19.80,51,70
2023-03-20 01:05,4,0.93,0,0
2023-03-20 01:05,11,3.93,64,64
2023-03-20 01:00,8,2.64,45,45
2023-03-20 01:00,12,4.55,67,75
2023-03-20 00:55,6,1.66,72,72
2023-03-20 00:55,9,3.10,0,0
2023-03-20 00:50,9,1.95,0,0
2023-03-20 00:50,16,3.78,70,81
2023-03-20 00:45,6,0.94,0,0
2023-03-20 00:45,11,3.64,66,74
2023-03-20 00:40,28,8.12,99,99
2023-03-20 00:40,13,10.44,66,68
2023-03-20 00:35,16,31.79,57,91
2023-03-20 00:35,19,26.05,58,70
2023-03-20 00:30,11,10.43,51,60
2023-03-20 00:30,10,6.98,69,84
2023-03-20 00:25,15,4.40,50,62
2023-03-20 00:25,19,7.43,64,70
2023-03-20 00:20,8,1.81,51,54
2023-03-20 00:20,13,4.02,71,81
2023-03-20 00:15,15,4.24,53,70
2023-03-20 00:15,23,8.61,54,66
2023-03-20 00:10,13,4.51,0,0
2023-03-20 00:10,19,10.44,55,87
2023-03-20 00:05,9,24.58,12,12
2023-03-20 00:05,17,29.53,22,54
2023-03-20 00:00,10,2.89,53,75
2023-03-20 00:00,20,7.13,61,70
2023-03-19 23:55,15,14.53,35,62
2023-03-19 23:55,19,9.74,56,64
2023-03-19 23:50,14,12.69,62,85
2023-03-19 23:50,15,18.24,56,71
2023-03-19 23:45,9,3.34,58,58
2023-03-19 23:45,18,12.42,51,80
2023-03-19 23:40,9,2.62,65,65
2023-03-19 23:40,15,6.85,54,69
2023-03-19 23:35,16,17.59,41,52
2023-03-19 23:35,19,11.54,39,64
2023-03-19 23:30,20,8.50,40,68
2023-03-19 23:30,23,13.25,58,67
2023-03-19 23:25,12,13.29,67,89
2023-03-19 23:25,26,32.49,60,77
2023-03-19 23:20,19,6.55,46,61
2023-03-19 23:20,28,24.97,58,68
2023-03-19 23:15,13,3.43,46,58
2023-03-19 23:15,13,6.31,63,85
2023-03-19 23:10,18,4.85,57,67
2023-03-19 23:10,20,8.70,67,80
2023-03-19 23:05,16,16.79,48,60
2023-03-19 23:05,26,21.95,58,72
2023-03-19 23:00,15,5.65,62,76
2023-03-19 23:00,25,10.78,59,75
2023-03-19 22:55,21,4.74,52,65
2023-03-19 22:55,30,9.86,66,72
2023-03-19 22:50,17,3.91,58,66
2023-03-19 22:50,29,8.67,64,73
2023-03-19 22:45,27,18.79,41,61
2023-03-19 22:45,33,13.90,60,68
2023-03-19 22:40,16,8.73,48,59
2023-03-19 22:40,19,39.09,60,73
2023-03-19 22:35,20,20.61,45,63
2023-03-19 22:35,26,15.33,61,75
2023-03-19 22:30,34,34.17,44,64
2023-03-19 22:30,97,41.98,59,71
2023-03-19 22:25,26,6.46,52,69
2023-03-19 22:25,28,10.95,63,77
2023-03-19 22:20,38,11.72,44,69
2023-03-19 22:20,67,36.41,58,75
2023-03-19 22:15,23,9.05,54,73
2023-03-19 22:15,29,24.44,63,75
2023-03-19 22:10,26,20.44,50,60
2023-03-19 22:10,30,25.94,52,74
2023-03-19 22:05,26,25.30,47,61
2023-03-19 22:05,30,31.35,56,69
2023-03-19 22:00,26,12.41,55,68
2023-03-19 22:00,26,30.13,51,76
2023-03-19 21:55,27,6.83,51,64
2023-03-19 21:55,27,19.20,64,74
2023-03-19 21:50,28,17.20,48,59
2023-03-19 21:50,35,22.16,55,64
2023-03-19 21:45,39,14.69,49,57
2023-03-19 21:45,45,42.35,50,67
2023-03-19 21:40,34,23.71,52,75
2023-03-19 21:40,55,37.26,59,74
2023-03-19 21:35,31,22.99,50,72
2023-03-19 21:35,42,43.30,61,79
2023-03-19 21:30,24,13.32,51,65
2023-03-19 21:30,36,43.26,54,74
2023-03-19 21:25,30,8.88,46,58
2023-03-19 21:25,40,15.21,58,75
2023-03-19 21:20,38,15.45,49,62
2023-03-19 21:20,53,45.35,53,68
2023-03-19 21:15,42,34.05,52,65
2023-03-19 21:15,40,42.45,53,74
2023-03-19 21:10,41,17.02,51,65
2023-03-19 21:10,42,38.64,54,65
2023-03-19 21:05,28,8.23,54,63
2023-03-19 21:05,36,22.23,62,75
2023-03-19 21:00,40,39.60,46,67
2023-03-19 21:00,37,58.60,57,79
2023-03-19 20:55,102,52.41,42,54
2023-03-19 20:55,51,41.73,47,65
2023-03-19 20:50,134,38.20,46,63
2023-03-19 20:50,59,47.86,58,67
2023-03-19 20:45,81,26.20,48,64
2023-03-19 20:45,41,34.03,48,63
2023-03-19 20:40,48,16.28,50,70
2023-03-19 20:40,42,31.03,59,71
2023-03-19 20:35,31,10.79,56,69
2023-03-19 20:35,46,18.55,57,71
2023-03-19 20:30,39,27.29,48,68
2023-03-19 20:30,44,43.79,58,72
2023-03-19 20:25,31,22.66,44,58
2023-03-19 20:25,37,39.63,54,70
2023-03-19 20:20,40,26.14,44,64
2023-03-19 20:20,34,46.32,50,69
2023-03-19 20:15,32,15.96,47,62
2023-03-19 20:15,40,43.19,58,70
2023-03-19 20:10,39,19.85,47,65
2023-03-19 20:10,41,20.56,56,67
2023-03-19 20:05,53,35.85,46,60
2023-03-19 20:05,56,57.84,48,68
2023-03-19 20:00,108,42.08,46,58
2023-03-19 20:00,48,60.69,53,71
2023-03-19 19:55,47,61.09,43,53
2023-03-19 19:55,56,50.50,51,62
2023-03-19 19:50,112,59.37,43,60
2023-03-19 19:50,99,70.14,51,70
2023-03-19 19:45,43,24.15,50,64
2023-03-19 19:45,45,28.60,55,69
2023-03-19 19:40,41,22.57,46,67
2023-03-19 19:40,42,32.61,56,71
2023-03-19 19:35,38,19.98,44,61
2023-03-19 19:35,46,44.28,53,71
2023-03-19 19:30,39,27.14,48,64
2023-03-19 19:30,45,45.64,54,67
2023-03-19 19:25,45,20.19,48,63
2023-03-19 19:25,41,44.44,52,67
2023-03-19 19:20,76,36.44,43,53
2023-03-19 19:20,49,56.96,51,72
2023-03-19 19:15,44,41.27,44,60
2023-03-19 19:15,52,67.73,54,76
2023-03-19 19:10,70,46.06,40,54
2023-03-19 19:10,60,69.80,48,64
2023-03-19 19:05,48,42.00,45,57
2023-03-19 19:05,51,50.73,54,64
2023-03-19 19:00,46,38.09,48,64
2023-03-19 19:00,104,44.20,57,66
2023-03-19 18:55,80,47.27,44,60
2023-03-19 18:55,93,55.39,52,64
2023-03-19 18:50,39,16.90,50,62
2023-03-19 18:50,51,25.57,59,70
2023-03-19 18:45,46,33.51,49,63
2023-03-19 18:45,46,50.68,55,63
2023-03-19 18:40,47,44.52,47,62
2023-03-19 18:40,52,52.28,51,63
2023-03-19 18:35,56,53.60,43,57
2023-03-19 18:35,55,52.01,56,77
2023-03-19 18:30,40,23.68,49,63
2023-03-19 18:30,46,34.19,56,71
2023-03-19 18:25,55,53.97,40,57
2023-03-19 18:25,71,56.69,47,62
2023-03-19 18:20,94,46.83,34,47
2023-03-19 18:20,67,72.38,41,56
2023-03-19 18:15,50,46.48,47,64
2023-03-19 18:15,55,41.27,60,72
2023-03-19 18:10,49,39.29,49,58
2023-03-19 18:10,55,38.37,56,71
2023-03-19 18:05,35,29.08,52,62
2023-03-19 18:05,38,33.97,58,69
2023-03-19 18:00,33,19.17,44,61
2023-03-19 18:00,42,19.24,59,69
2023-03-19 17:55,42,30.58,50,61
2023-03-19 17:55,48,68.40,53,69
2023-03-19 17:50,54,34.76,39,55
2023-03-19 17:50,101,57.03,51,62
2023-03-19 17:45,73,58.18,43,55
2023-03-19 17:45,64,57.45,50,62
2023-03-19 17:40,58,56.31,42,52
2023-03-19 17:40,65,57.73,52,64
2023-03-19 17:35,54,22.94,42,57
2023-03-19 17:35,58,36.49,55,66
2023-03-19 17:30,47,43.36,49,67
2023-03-19 17:30,49,70.04,50,68
2023-03-19 17:25,37,24.59,49,62
2023-03-19 17:25,44,34.93,56,75
2023-03-19 17:20,53,50.71,45,57
2023-03-19 17:20,55,64.99,51,61
2023-03-19 17:15,64,44.79,43,53
2023-03-19 17:15,60,52.85,55,68
2023-03-19 17:10,47,39.31,46,60
2023-03-19 17:10,52,68.61,55,73
2023-03-19 17:05,39,28.87,47,58
2023-03-19 17:05,49,42.70,52,71
2023-03-19 17:00,41,27.07,41,60
2023-03-19 17:00,47,19.37,58,71
2023-03-19 16:55,42,46.16,52,65
2023-03-19 16:55,66,52.00,58,69
2023-03-19 16:50,44,43.93,44,60
2023-03-19 16:50,55,52.51,51,65
2023-03-19 16:45,55,60.43,43,60
2023-03-19 16:45,61,67.09,54,66
2023-03-19 16:40,51,41.20,45,60
2023-03-19 16:40,60,49.50,52,69
2023-03-19 16:35,61,42.06,38,52
2023-03-19 16:35,66,51.14,50,64
2023-03-19 16:30,53,24.37,46,63
2023-03-19 16:30,48,31.98,58,69
2023-03-19 16:25,45,27.61,45,64
2023-03-19 16:25,52,51.26,55,68
2023-03-19 16:20,43,19.04,46,64
2023-03-19 16:20,46,26.52,54,70
2023-03-19 16:15,56,31.20,42,56
2023-03-19 16:15,63,40.66,54,63
2023-03-19 16:10,51,50.92,38,53
2023-03-19 16:10,65,48.27,51,65
2023-03-19 16:05,53,45.23,45,60
2023-03-19 16:05,62,58.79,51,66
2023-03-19 16:00,70,48.17,46,58
2023-03-19 16:00,66,60.90,52,68
2023-03-19 15:55,34,26.48,52,70
2023-03-19 15:55,53,42.09,59,72
2023-03-19 15:50,35,9.01,54,71
2023-03-19 15:50,51,18.40,61,75
2023-03-19 15:45,50,40.84,44,58
2023-03-19 15:45,61,28.38,49,61
2023-03-19 15:40,60,43.63,42,57
2023-03-19 15:40,59,62.04,44,63
2023-03-19 15:35,67,57.77,43,55
2023-03-19 15:35,63,56.89,45,62
2023-03-19 15:30,59,44.59,40,58
2023-03-19 15:30,60,40.36,46,61
2023-03-19 15:25,64,45.93,46,58
2023-03-19 15:25,70,53.96,46,61
2023-03-19 15:20,52,32.36,40,58
2023-03-19 15:20,61,25.44,55,67
2023-03-19 15:15,51,50.49,41,54
2023-03-19 15:15,59,37.70,56,64
2023-03-19 15:10,81,39.01,43,56
2023-03-19 15:10,54,36.74,53,62
2023-03-19 15:05,42,25.91,47,61
2023-03-19 15:05,57,33.12,59,71
2023-03-19 15:00,36,10.99,49,67
2023-03-19 15:00,42,24.92,57,68
2023-03-19 14:55,51,43.56,41,56
2023-03-19 14:55,67,56.88,47,63
2023-03-19 14:50,47,53.27,41,58
2023-03-19 14:50,48,71.61,42,67
2023-03-19 14:45,75,59.97,41,56
2023-03-19 14:45,67,67.66,45,66
2023-03-19 14:40,44,51.39,47,65
2023-03-19 14:40,48,61.38,52,72
2023-03-19 14:35,51,43.78,43,63
2023-03-19 14:35,52,65.80,45,65
2023-03-19 14:30,56,60.29,41,58
2023-03-19 14:30,64,71.15,49,65
2023-03-19 14:25,54,63.91,37,49
2023-03-19 14:25,62,71.03,42,64
2023-03-19 14:20,52,44.20,36,55
2023-03-19 14:20,61,68.38,52,74
2023-03-19 14:15,79,44.34,39,50
2023-03-19 14:15,118,67.06,46,62
2023-03-19 14:10,48,56.65,43,55
2023-03-19 14:10,60,67.26,45,65
2023-03-19 14:05,39,55.82,41,58
2023-03-19 14:05,58,68.01,45,67
2023-03-19 14:00,75,60.50,46,66
2023-03-19 14:00,54,70.47,48,69
2023-03-19 13:55,65,55.35,46,68
2023-03-19 13:55,62,65.67,44,62
2023-03-19 13:50,75,69.23,39,49
2023-03-19 13:50,63,60.28,43,60
2023-03-19 13:45,78,61.06,42,50
2023-03-19 13:45,72,73.15,42,61
2023-03-19 13:40,59,62.17,35,52
2023-03-19 13:40,94,72.57,42,56
2023-03-19 13:35,50,59.95,35,47
2023-03-19 13:35,59,68.92,46,62
2023-03-19 13:30,71,59.31,45,60
2023-03-19 13:30,76,73.35,48,69
2023-03-19 13:25,43,55.42,42,58
2023-03-19 13:25,47,68.26,52,71
2023-03-19 13:20,66,56.99,41,54
2023-03-19 13:20,52,68.25,44,65
2023-03-19 13:15,56,59.21,44,62
2023-03-19 13:15,51,69.02,48,64
2023-03-19 13:10,49,57.53,40,56
2023-03-19 13:10,87,60.10,48,68
2023-03-19 13:05,60,55.25,42,64
2023-03-19 13:05,65,64.41,50,68
2023-03-19 13:00,67,57.52,40,55
2023-03-19 13:00,67,69.39,37,56
2023-03-19 12:55,50,50.00,36,50
2023-03-19 12:55,99,70.37,46,70
2023-03-19 12:50,48,43.64,39,51
2023-03-19 12:50,60,70.01,50,67
2023-03-19 12:45,51,48.53,38,48
2023-03-19 12:45,59,70.36,48,69
2023-03-19 12:40,65,60.49,38,56
2023-03-19 12:40,47,64.94,47,69
2023-03-19 12:35,55,60.79,40,58
2023-03-19 12:35,51,65.43,49,73
2023-03-19 12:30,65,61.16,42,56
2023-03-19 12:30,67,68.78,53,71
2023-03-19 12:25,68,58.84,35,48
2023-03-19 12:25,76,65.04,45,58
2023-03-19 12:20,67,49.76,45,59
2023-03-19 12:20,59,68.11,45,67
2023-03-19 12:15,59,60.80,42,50
2023-03-19 12:15,57,71.03,46,63
2023-03-19 12:10,49,57.57,33,56
2023-03-19 12:10,52,39.32,47,68
2023-03-19 12:05,46,58.66,40,52
2023-03-19 12:05,52,67.39,51,70
2023-03-19 12:00,50,55.33,45,58
2023-03-19 12:00,58,60.25,49,69
2023-03-19 11:55,86,61.04,45,55
2023-03-19 11:55,62,68.37,44,61
2023-03-19 11:50,66,55.80,42,57
2023-03-19 11:50,69,64.32,51,68
2023-03-19 11:45,54,58.61,46,55
2023-03-19 11:45,77,70.15,45,63
2023-03-19 11:40,86,57.69,48,58
2023-03-19 11:40,59,68.82,45,67
2023-03-19 11:35,54,61.45,43,62
2023-03-19 11:35,65,71.55,43,58
2023-03-19 11:30,48,46.84,45,61
2023-03-19 11:30,69,69.87,48,69
2023-03-19 11:25,64,60.22,38,56
2023-03-19 11:25,52,65.26,47,70
2023-03-19 11:20,99,55.05,46,64
2023-03-19 11:20,106,68.36,50,68
2023-03-19 11:15,40,46.02,45,61
2023-03-19 11:15,32,36.79,61,73
2023-03-19 11:10,60,45.63,52,58
2023-03-19 11:10,54,55.60,47,65
2023-03-19 11:05,51,39.57,49,66
2023-03-19 11:05,46,37.29,57,75
2023-03-19 11:00,51,61.37,44,57
2023-03-19 11:00,62,69.93,43,64
2023-03-19 10:55,41,41.00,45,64
2023-03-19 10:55,54,59.24,46,68
2023-03-19 10:50,47,56.54,41,58
2023-03-19 10:50,50,63.41,54,79
2023-03-19 10:45,61,56.75,42,60
2023-03-19 10:45,61,67.12,46,68
2023-03-19 10:40,61,52.85,42,59
2023-03-19 10:40,93,67.63,45,60
2023-03-19 10:35,69,52.86,44,60
2023-03-19 10:35,63,63.27,55,71
2023-03-19 10:30,27,52.48,41,60
2023-03-19 10:30,36,56.76,62,82
2023-03-19 10:25,39,40.63,42,59
2023-03-19 10:25,51,53.03,48,65
2023-03-19 10:20,35,32.92,40,62
2023-03-19 10:20,38,63.25,56,73
2023-03-19 10:15,37,21.33,49,61
2023-03-19 10:15,68,62.03,58,78
2023-03-19 10:10,54,39.87,50,65
2023-03-19 10:10,57,60.33,46,73
