Время,Автомобилей,"Занятость, %","Ср.скорость, км/ч","85 процентиль, км/ч"
2022-12-31 16:15,49,0.58,31,40
2022-12-31 16:10,24,0.77,23,32
2022-12-31 16:10,35,0.54,34,41
2022-12-31 16:05,36,0.72,25,30
2022-12-31 16:05,56,0.59,30,39
2022-12-31 16:00,29,0.61,29,42
2022-12-31 16:00,36,0.49,37,44
2022-12-31 15:55,30,0.73,25,33
2022-12-31 15:55,45,0.55,33,40
2022-12-31 15:50,36,0.74,24,34
2022-12-31 15:50,48,0.59,31,36
2022-12-31 15:45,36,0.67,27,40
2022-12-31 15:45,41,0.53,34,44
2022-12-31 15:40,41,0.70,26,36
2022-12-31 15:40,50,0.59,31,39
2022-12-31 15:35,34,0.67,27,37
2022-12-31 15:35,39,0.55,33,40
2022-12-31 15:30,36,0.63,28,38
2022-12-31 15:30,41,0.52,35,44
2022-12-31 15:25,29,0.68,27,34
2022-12-31 15:25,53,0.59,31,40
2022-12-31 15:20,33,0.61,30,38
2022-12-31 15:20,46,0.57,32,39
2022-12-31 15:15,43,0.60,30,36
2022-12-31 15:15,43,0.53,34,40
2022-12-31 15:10,45,0.68,26,33
2022-12-31 15:10,45,0.56,32,38
2022-12-31 15:05,37,0.68,27,34
2022-12-31 15:05,48,0.62,29,37
2022-12-31 15:00,38,0.75,24,31
2022-12-31 15:00,47,0.56,32,41
2022-12-31 14:55,37,0.66,27,37
2022-12-31 14:55,37,0.62,29,39
2022-12-31 14:50,45,0.65,28,38
2022-12-31 14:50,44,0.61,30,41
2022-12-31 14:45,38,0.73,25,34
2022-12-31 14:45,47,0.58,31,41
2022-12-31 14:40,50,0.65,28,38
2022-12-31 14:40,45,0.53,34,44
2022-12-31 14:35,43,0.68,26,36
2022-12-31 14:35,49,0.64,28,38
2022-12-31 14:30,39,0.67,27,35
2022-12-31 14:30,67,0.64,28,36
2022-12-31 14:25,38,0.67,27,34
2022-12-31 14:25,39,0.64,28,39
2022-12-31 14:20,43,0.64,28,39
2022-12-31 14:20,57,0.56,32,41
2022-12-31 14:15,40,0.63,29,39
2022-12-31 14:15,45,0.54,33,41
2022-12-31 14:10,42,0.72,25,35
2022-12-31 14:10,59,0.60,30,39
2022-12-31 14:05,42,0.60,30,39
2022-12-31 14:05,43,0.54,33,41
2022-12-31 14:00,38,0.73,25,34
2022-12-31 14:00,49,0.62,29,39
2022-12-31 13:55,53,0.65,28,35
2022-12-31 13:55,46,0.56,32,41
2022-12-31 13:50,39,0.69,26,35
2022-12-31 13:50,53,0.64,28,38
2022-12-31 13:45,38,0.64,28,36
2022-12-31 13:45,47,0.56,32,39
2022-12-31 13:40,49,0.71,25,34
2022-12-31 13:40,56,0.58,31,40
2022-12-31 13:35,42,0.61,29,37
2022-12-31 13:35,56,0.62,29,39
2022-12-31 13:30,41,0.66,27,32
2022-12-31 13:30,56,0.60,30,40
2022-12-31 13:25,50,0.74,24,35
2022-12-31 13:25,49,0.59,30,39
2022-12-31 13:20,38,0.72,25,33
2022-12-31 13:20,44,0.61,30,38
2022-12-31 13:15,40,0.70,26,36
2022-12-31 13:15,54,0.60,30,37
2022-12-31 13:10,44,0.68,26,34
2022-12-31 13:10,53,0.57,32,39
2022-12-31 13:05,78,0.82,22,32
2022-12-31 13:05,60,0.69,26,36
2022-12-31 13:00,53,0.72,25,35
2022-12-31 13:00,51,0.58,31,36
2022-12-31 12:55,38,0.70,26,35
2022-12-31 12:55,46,0.51,35,42
2022-12-31 12:50,44,0.66,27,36
2022-12-31 12:50,43,0.59,31,37
2022-12-31 12:45,62,0.72,25,35
2022-12-31 12:45,50,0.64,28,39
2022-12-31 12:40,46,0.73,25,34
2022-12-31 12:40,56,0.71,25,36
2022-12-31 12:35,35,0.66,27,34
2022-12-31 12:35,46,0.60,30,39
2022-12-31 12:30,50,0.64,28,35
2022-12-31 12:30,55,0.59,31,41
2022-12-31 12:25,58,0.71,25,35
2022-12-31 12:25,64,0.72,25,35
2022-12-31 12:20,53,0.70,26,33
2022-12-31 12:20,62,0.63,29,37
2022-12-31 12:15,37,0.64,28,36
2022-12-31 12:15,40,0.58,31,39
2022-12-31 12:10,39,0.67,27,37
2022-12-31 12:10,44,0.57,32,41
2022-12-31 12:05,33,0.65,28,37
2022-12-31 12:05,54,0.58,31,39
2022-12-31 12:00,50,0.66,27,34
2022-12-31 12:00,94,0.63,29,38
2022-12-31 11:55,51,0.67,27,34
2022-12-31 11:55,58,0.60,30,39
2022-12-31 11:50,37,0.62,29,38
2022-12-31 11:50,48,0.56,32,43
2022-12-31 11:45,34,0.68,26,33
2022-12-31 11:45,55,0.55,33,37
2022-12-31 11:40,31,0.79,23,31
2022-12-31 11:40,45,0.57,32,41
2022-12-31 11:35,52,0.70,26,35
2022-12-31 11:35,37,0.58,31,39
2022-12-31 11:30,47,0.69,26,34
2022-12-31 11:30,48,0.64,28,39
2022-12-31 11:25,29,0.57,32,41
2022-12-31 11:25,45,0.57,32,42
2022-12-31 11:20,39,0.59,31,39
2022-12-31 11:20,46,0.57,31,39
2022-12-31 11:15,55,0.69,26,35
2022-12-31 11:15,49,0.55,33,39
2022-12-31 11:10,37,0.65,28,35
2022-12-31 11:10,53,0.53,34,39
2022-12-31 11:05,36,0.74,24,36
2022-12-31 11:05,53,0.61,29,39
2022-12-31 11:00,29,0.80,23,33
2022-12-31 11:00,46,0.61,29,36
2022-12-31 10:55,36,0.68,27,36
2022-12-31 10:55,52,0.61,30,37
2022-12-31 10:50,45,0.75,24,32
2022-12-31 10:50,54,0.60,30,39
2022-12-31 10:45,30,0.65,28,36
2022-12-31 10:45,41,0.55,33,38
2022-12-31 10:40,36,0.63,29,34
2022-12-31 10:40,45,0.58,31,36
2022-12-31 10:35,33,0.61,30,39
2022-12-31 10:35,45,0.55,33,39
2022-12-31 10:30,37,0.76,24,31
2022-12-31 10:30,60,0.61,29,37
2022-12-31 10:25,28,0.66,27,39
2022-12-31 10:25,47,0.60,30,38
2022-12-31 10:20,28,0.65,28,35
2022-12-31 10:20,43,0.54,34,40
2022-12-31 10:15,33,0.71,25,33
2022-12-31 10:15,34,0.57,31,38
2022-12-31 10:10,30,0.64,28,34
2022-12-31 10:10,37,0.59,31,38
2022-12-31 10:05,36,0.61,30,37
2022-12-31 10:05,36,0.58,31,38
2022-12-31 10:00,34,0.66,27,33
2022-12-31 10:00,53,0.55,33,37
2022-12-31 09:55,22,0.57,31,37
2022-12-31 09:55,32,0.50,36,45
2022-12-31 09:50,26,0.59,31,37
2022-12-31 09:50,33,0.49,37,43
2022-12-31 09:45,25,0.61,30,35
2022-12-31 09:45,43,0.52,34,43
2022-12-31 09:40,40,0.61,29,36
2022-12-31 09:40,43,0.56,32,36
2022-12-31 09:35,23,0.56,32,37
2022-12-31 09:35,37,0.49,36,44
2022-12-31 09:30,30,0.57,32,37
2022-12-31 09:30,36,0.52,35,41
2022-12-31 09:25,24,0.62,29,41
2022-12-31 09:25,32,0.54,34,39
2022-12-31 09:20,30,0.70,26,38
2022-12-31 09:20,29,0.48,37,44
2022-12-31 09:15,20,0.58,31,36
2022-12-31 09:15,43,0.53,34,39
2022-12-31 09:10,27,0.61,29,39
2022-12-31 09:10,48,0.53,34,39
2022-12-31 09:05,10,0.64,28,36
2022-12-31 09:05,32,0.47,38,44
2022-12-31 09:00,24,0.62,29,37
2022-12-31 09:00,26,0.51,35,41
2022-12-31 08:55,19,0.70,26,36
2022-12-31 08:55,28,0.48,37,43
2022-12-31 08:50,26,0.64,28,35
2022-12-31 08:50,34,0.51,35,42
2022-12-31 08:45,22,0.59,31,39
2022-12-31 08:45,35,0.52,35,38
2022-12-31 08:40,11,0.58,31,41
2022-12-31 08:40,17,0.45,40,44
2022-12-31 08:35,19,0.58,31,42
2022-12-31 08:35,25,0.49,37,40
2022-12-31 08:30,19,0.66,27,32
2022-12-31 08:30,28,0.52,35,40
2022-12-31 08:25,18,0.52,35,45
2022-12-31 08:25,24,0.51,35,42
2022-12-31 08:20,16,0.57,31,41
2022-12-31 08:20,17,0.53,34,40
2022-12-31 08:15,12,0.53,34,40
2022-12-31 08:15,10,0.53,34,39
2022-12-31 08:10,11,0.61,30,38
2022-12-31 08:10,17,0.47,38,43
2022-12-31 08:05,11,0.75,24,29
2022-12-31 08:05,14,0.55,33,36
2022-12-31 08:00,12,0.52,35,42
2022-12-31 08:00,25,0.50,36,43
2022-12-31 07:55,16,0.57,32,39
2022-12-31 07:55,17,0.51,35,41
2022-12-31 07:50,21,0.61,29,35
2022-12-31 07:50,30,0.53,34,39
2022-12-31 07:45,17,0.59,30,41
2022-12-31 07:45,22,0.51,35,40
2022-12-31 07:40,14,0.61,30,39
2022-12-31 07:40,22,0.49,36,42
2022-12-31 07:35,15,0.57,31,37
2022-12-31 07:35,18,0.51,36,44
2022-12-31 07:30,20,0.63,29,37
2022-12-31 07:30,17,0.48,37,43
2022-12-31 07:25,13,0.59,31,37
2022-12-31 07:25,20,0.48,37,45
